#SampleID	Diet	Contact_to_WSC_animals	Age	Sex	GIT_problem	Pack_wolf	Pack_dog	Pack_wolf_dog	Related_dog	Related_wolf	Related_wolf_dog	Petdog_dog_origin	AB_all	AB_wolf	AB_dog	AB_human	AB_petdog	Species	Skin_H_PD	Skin_H_W	Skin_H_D	Skin_PD_W	Skin_PD_D	Skin_W_D	Feces_H_PD	Feces_H_W	Feces_H_D	Feces_PD_W	Feces_PD_D	Feces_W_D	Sample	Human	Wolf	Petdog	Dog	Date	Description	SAMPLEtype
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
H5s	meat	medium	human	female_human	NA	NA	NA	NA	NA	NA	NA	NA	long_ago	NA	NA	long_ago	NA	Human	Human	Human	Human	NA	NA	NA	Human	Human	Human	NA	NA	NA	Skin	Skin	NA	NA	NA	22.11.2017	H5s.join.fastq	H_S
H1s	meat	medium	human	female_human	NA	NA	NA	NA	NA	NA	NA	NA	long_ago	NA	NA	long_ago	NA	Human	Human	Human	Human	NA	NA	NA	Human	Human	Human	NA	NA	NA	Skin	Skin	NA	NA	NA	24.11.2017	H1s.join.fastq	H_S
H6s	meat	seldom	human	female_human	NA	NA	NA	NA	NA	NA	NA	NA	recently	NA	NA	recently	NA	Human	Human	Human	Human	NA	NA	NA	Human	Human	Human	NA	NA	NA	Skin	Skin	NA	NA	NA	28.11.2017	H6s.join.fastq	H_S
H2s	meat	close	human	female_human	NA	NA	NA	NA	NA	NA	NA	NA	long_ago	NA	NA	long_ago	NA	Human	Human	Human	Human	NA	NA	NA	Human	Human	Human	NA	NA	NA	Skin	Skin	NA	NA	NA	24.11.2017	H2s.join.fastq	H_S
H8s	meat	seldom	human	female_human	NA	NA	NA	NA	NA	NA	NA	NA	long_ago	NA	NA	long_ago	NA	Human	Human	Human	Human	NA	NA	NA	Human	Human	Human	NA	NA	NA	Skin	Skin	NA	NA	NA	22.11.2017	H8s.join.fastq	H_S
H7s	meat	close	human	female_human	NA	NA	NA	NA	NA	NA	NA	NA	long_ago	NA	NA	long_ago	NA	Human	Human	Human	Human	NA	NA	NA	Human	Human	Human	NA	NA	NA	Skin	Skin	NA	NA	NA	22.11.2017	H7s.join.fastq	H_S
H4s	meat	close	human	female_human	NA	NA	NA	NA	NA	NA	NA	NA	never	NA	NA	never	NA	Human	Human	Human	Human	NA	NA	NA	Human	Human	Human	NA	NA	NA	Skin	Skin	NA	NA	NA	24.11.2017	H4s.join.fastq	H_S
H3s	meat	close	human	female_human	NA	NA	NA	NA	NA	NA	NA	NA	long_ago	NA	NA	long_ago	NA	Human	Human	Human	Human	NA	NA	NA	Human	Human	Human	NA	NA	NA	Skin	Skin	NA	NA	NA	24.11.2017	H3s.join.fastq	H_S
H9s	meat	seldom	human	female_human	NA	NA	NA	NA	NA	NA	NA	NA	long_ago	NA	NA	long_ago	NA	Human	Human	Human	Human	NA	NA	NA	Human	Human	Human	NA	NA	NA	Skin	Skin	NA	NA	NA	23.11.2017	H9s.join.fastq	H_S
H10s	fish	seldom	human	female_human	NA	NA	NA	NA	NA	NA	NA	NA	never	NA	NA	never	NA	Human	Human	Human	Human	NA	NA	NA	Human	Human	Human	NA	NA	NA	Skin	Skin	NA	NA	NA	23.11.2017	H10s.join.fastq	H_S
H11s	meat	medium	human	female_human	NA	NA	NA	NA	NA	NA	NA	NA	long_ago	NA	NA	long_ago	NA	Human	Human	Human	Human	NA	NA	NA	Human	Human	Human	NA	NA	NA	Skin	Skin	NA	NA	NA	27.11.2017	H11s.join.fastq	H_S
H12s	meat	medium	human	female_human	NA	NA	NA	NA	NA	NA	NA	NA	recently	NA	NA	recently	NA	Human	Human	Human	Human	NA	NA	NA	Human	Human	Human	NA	NA	NA	Skin	Skin	NA	NA	NA	NA	H12s.join.fastq	H_S
PD6s	dry	medium	old	male_PD	Nein	NA	NA	NA	NA	NA	NA	PD_Anywhere	long_ago	NA	NA	NA	long_ago	Petdog	Petdog	NA	NA	Petdog	Petdog	NA	Petdog	NA	NA	Petdog	Petdog	NA	Skin	NA	NA	Skin	NA	22.11.2017	PD6s.join.fastq	PD_S
PD4s	wet	medium	old	male_neutered_PD	Nein	NA	NA	NA	NA	NA	NA	PD_Anywhere	recently	NA	NA	NA	recently	Petdog	Petdog	NA	NA	Petdog	Petdog	NA	Petdog	NA	NA	Petdog	Petdog	NA	Skin	NA	NA	Skin	NA	28.11.2017	PD4s.join.fastq	PD_S
PD3s	dry	close	adult	male_PD	Nein	NA	NA	NA	D_family_B	D_family_B	NA	PD_WSC	never	NA	NA	NA	never	Petdog	Petdog	NA	NA	Petdog	Petdog	NA	Petdog	NA	NA	Petdog	Petdog	NA	Skin	NA	NA	Skin	NA	24.11.2017	PD3s.join.fastq	PD_S
PD1s	dry	close	old	male_neutered_PD	Ja	NA	NA	NA	NA	NA	NA	PD_WSC	recently	NA	NA	NA	recently	Petdog	Petdog	NA	NA	Petdog	Petdog	NA	Petdog	NA	NA	Petdog	Petdog	NA	Skin	NA	NA	Skin	NA	24.11.2017	PD1s.join.fastq	PD_S
PD2s	dry	close	young	female_PD	Nein	NA	NA	NA	NA	NA	NA	PD_Anywhere	recently	NA	NA	NA	recently	Petdog	Petdog	NA	NA	Petdog	Petdog	NA	Petdog	NA	NA	Petdog	Petdog	NA	Skin	NA	NA	Skin	NA	24.11.2017	PD2s.join.fastq	PD_S
